[2023-11-23 16:00:43] {conventions.py:445} INFO - training epoch: 69	Train Loss: 0.054
[2023-11-23 16:00:43] {conventions.py:445} INFO - training epoch: 70	Train Loss: 0.053
[2023-11-23 16:00:43] {conventions.py:445} INFO - training epoch: 71	Train Loss: 0.054
[2023-11-23 16:00:43] {conventions.py:445} INFO - training epoch: 72	Train Loss: 0.053
[2023-11-23 16:00:43] {conventions.py:445} INFO - training epoch: 73	Train Loss: 0.054
[2023-11-23 16:00:43] {conventions.py:445} INFO - training epoch: 74	Train Loss: 0.053
[2023-11-23 16:00:43] {conventions.py:445} INFO - training epoch: 75	Train Loss: 0.055
[2023-11-23 16:00:43] {conventions.py:445} INFO - training epoch: 76	Train Loss: 0.053
[2023-11-23 16:00:43] {conventions.py:445} INFO - training epoch: 77	Train Loss: 0.055
[2023-11-23 16:00:43] {conventions.py:445} INFO - training epoch: 78	Train Loss: 0.058
[2023-11-23 16:00:43] {conventions.py:445} INFO - training epoch: 79	Train Loss: 0.054
[2023-11-23 16:00:43] {conventions.py:445} INFO - training epoch: 80	Train Loss: 0.054
[2023-11-23 16:00:43] {conventions.py:445} INFO - training epoch: 81	Train Loss: 0.053
[2023-11-23 16:00:43] {conventions.py:445} INFO - training epoch: 82	Train Loss: 0.054
[2023-11-23 16:00:43] {conventions.py:445} INFO - training epoch: 83	Train Loss: 0.053
[2023-11-23 16:00:43] {conventions.py:445} INFO - training epoch: 84	Train Loss: 0.053
[2023-11-23 16:00:43] {conventions.py:445} INFO - training epoch: 85	Train Loss: 0.053
[2023-11-23 16:00:43] {conventions.py:445} INFO - training epoch: 86	Train Loss: 0.054
[2023-11-23 16:00:43] {conventions.py:445} INFO - training epoch: 87	Train Loss: 0.055
[2023-11-23 16:00:43] {conventions.py:445} INFO - training epoch: 88	Train Loss: 0.056
[2023-11-23 16:00:43] {conventions.py:445} INFO - training epoch: 89	Train Loss: 0.055
[2023-11-23 16:00:43] {conventions.py:445} INFO - training epoch: 90	Train Loss: 0.053
[2023-11-23 16:00:44] {conventions.py:445} INFO - training epoch: 91	Train Loss: 0.053
[2023-11-23 16:00:44] {conventions.py:445} INFO - training epoch: 92	Train Loss: 0.054
[2023-11-23 16:00:44] {conventions.py:445} INFO - training epoch: 93	Train Loss: 0.053
[2023-11-23 16:00:44] {conventions.py:445} INFO - training epoch: 94	Train Loss: 0.052
[2023-11-23 16:00:44] {conventions.py:445} INFO - training epoch: 95	Train Loss: 0.054
[2023-11-23 16:00:44] {conventions.py:445} INFO - training epoch: 96	Train Loss: 0.053
[2023-11-23 16:00:44] {conventions.py:445} INFO - training epoch: 97	Train Loss: 0.054
[2023-11-23 16:00:44] {conventions.py:445} INFO - training epoch: 98	Train Loss: 0.053
[2023-11-23 16:00:44] {conventions.py:445} INFO - training epoch: 99	Train Loss: 0.056
[2023-11-23 16:00:44] {conventions.py:445} INFO - training epoch: 100	Train Loss: 0.054
[2023-11-23 16:00:44] {tune.py:186} INFO - Finish 1 trial for FPMC...
[2023-11-23 16:00:44] {tune.py:218} INFO - Best trial for FPMC: 1
